lemma,translation,paradigm,difficulty,categories
euro,euro,,A2,misc
letiště,airport,,B1,places
překážka,obstacle,,A1,misc
paže,arm,,A1,body
výchova,education,,A1,"misc,abstract"
popis,description,,A1,misc
areál,premise,,A2,misc
vysvětlení,explanation,,A2,misc
tendence,tendency,,A2,misc
kandidát,candidate,,A2,"misc,people"
přednáška,lecture,,A1,misc
výklad,explication,,A1,misc
mobil,mobile phone,,A1,objects
sláva,fame,,A1,misc
utkání,match,,A1,"misc,event"
prohlášení,statement,,A2,misc
festival,festival,,A1,misc
pověst,legend,,B1,misc
rozpor,contradiction,,A2,misc
náhoda,chance,,A2,misc
turista,tourist,,A1,"misc,people"
blázen,fool,,A1,"misc,people"
potravina,food,,A1,food
výzva,challenge,,A2,misc
poplatek,charge,,A1,misc
spotřeba,consumption,,A2,misc
strop,ceiling,,A1,places
dárek,present,,A1,objects
jedinec,individual,,A1,"misc,people"
vyjádření,expression,,A2,misc
zajištění,security,,A2,misc
angličtina,English,,A1,misc
soupeř,opponent,,A1,misc
vůně,scent,,A1,misc
galerie,gallery,,A1,misc
subjekt,subject,,A2,misc
polévka,soup,,A1,food
kampaň,campaign,,A2,misc
odvaha,courage,,A1,"misc,abstract"
pramen,source,,A1,misc
platnost,validity,,A2,misc
svazek,bunch,,A1,misc
kilo,kilo,,A1,misc
sbor,board,,A1,misc
poledne,noon,,A1,misc
pozadí,background,,A1,misc
dětství,childhood,,A1,"time,family"
pokles,drop,,A2,misc
tvrzení,statement,,A1,misc
jed,poison,,A1,misc
kapela,band,,A1,misc
dopad,impact,,A2,misc
přestávka,break,,B1,misc
centimetr,centimetre,,A1,misc
nerv,nerve,,A1,misc
kolej,rail,růže,B1,misc
vchod,entrance,,A1,misc
větev,branch,růže,A1,nature
expert,expert,,A1,"misc,people"
argument,argument,,A2,misc
písnička,song,,B1,misc
revoluce,revolution,,B1,misc
církev,church,růže,A1,misc
demokracie,democracy,,A2,misc
mechanismus,mechanism,,A2,misc
očekávání,expectation,,A2,misc
přijetí,acceptance,,A2,misc
svědomí,conscience,,A1,"misc,abstract"
brambor,potato,,A1,food
komunista,communist,,A2,"misc,people"
písek,sand,,A1,misc
skříň,wardrobe,,A1,objects
ložnice,bedroom,,A1,places
zloděj,thief,,A1,"misc,people"
rostlina,plant,,A1,nature
houba,mushroom,,A1,"food,nature"
procházka,walk,,A1,misc
dostatek,sufficiency,,A2,misc
kamera,(video) camera,,A2,objects
reforma,reform,,A2,misc
zákaz,prohibition,,A2,misc
vlastník,owner,,A2,"misc,people"
poznatek,(piece of) knowledge,,A2,"misc,abstract"
vědec,scholar,,B1,misc
litr,litre,,A2,misc
nápis,inscription,,A2,misc
hrob,grave,,A2,misc
důchod,pension,,A2,misc
sněmovna,chamber,,A2,misc
kráva,cow,,A1,animals
bitva,battle,,A2,"misc,event"
mládež,youth,,A2,misc
div,wonder,,A2,misc
chata,cottage,,B1,places
zrcadlo,mirror,,A2,objects
droga,drug,,A2,misc
uspořádání,organization,,A2,misc
komora,utility room,,A2,places
dav,crowd,,A2,misc
soudce,judge,,B1,"misc,people"
zahájení,opening,,A2,"misc,event"
oblečení,clothes,,B1,objects
kout,corner,,A2,places
premiéra,premiere,,A2,misc
zázrak,miracle,,A2,misc
linie,line,,A2,misc
básník,poet,,B1,misc
zločin,crime,,A2,misc
manželství,marriage,,A2,family
pokuta,penalty,,B1,misc
shoda,agreement,,A2,misc
heslo,password,,A2,misc
dodávka,delivery,,A2,misc
trať,railway,,A2,misc
cyklus,cycle,,A2,misc
plot,fence,,A2,misc
román,novel,,B1,misc
rozhodování,decision-making,,A2,"misc,people"
povolení,permission,,B1,misc
porucha,breakdown,,A2,misc
orientace,orientation,,A2,misc
zóna,zone,,A2,misc
podnět,impulse,,A2,misc
desetiletí,decade,,A2,misc
obrat,turn,,B1,misc
učení,doctrine,,A2,misc
blbost,crap,,A2,misc
důraz,stress,,A2,misc
odměna,reward,,A2,misc
přenos,broadcast,,A2,misc
společenství,community,,A2,misc
kanál,channel,,A2,misc
taťka,daddy,,A2,family
peklo,hell,,A2,misc
zavedení,launching,,A2,misc
zelenina,vegetable,,A2,food
základna,base,,A2,misc
trasa,route,,A2,misc
kamarádka,friend,,A2,"misc,people"
podklad,basis,,A2,misc
mládí,youth,,A2,misc
útočník,attacker,,A2,misc
přesvědčení,conviction,,A2,misc
nástup,entrance,,A2,misc
příkaz,order,,A2,misc
snídaně,breakfast,,A1,"food,meal"
filozofie,philosophy,,A2,misc
malíř,painter,,B1,"misc,people"
cukr,sugar,,A2,food
půlnoc,midnight,,A2,time
hospodářství,economy,,A2,misc
vyšetřování,investigation,,A2,misc
dosažení,achievement,,A2,misc
brácha,brother,,A2,"family,people"
bytost,being,,A2,misc
skladba,composition,,B1,misc
pohádka,fairy tale,,B1,misc
socha,statue,,B1,misc
výpověď,testimony,,A2,misc
pořadí,order,,A2,misc
mistrovství,championship,,A2,"misc,event"
tvůrce,creator,,A2,misc
skála,rock,,A2,nature
aspekt,aspect,,A2,misc
kříž,cross,,A2,misc
kapitán,captain,,A2,misc
dotaz,query,,A2,misc
podnikání,enterprise,,B1,misc
sůl,salt,,A2,food
pytel,bag,,A2,objects
soustava,system,,A2,misc
koupelna,bathroom,,A2,places
stanovisko,standpoint,,A2,misc
nábytek,furniture,,A2,objects
spravedlnost,justice,,A2,"misc,abstract"
seriál,series,,A2,misc
nesmysl,nonsense,,A2,"misc,abstract"
úvod,introduction,,A2,misc
údolí,valley,,A2,nature
ovoce,fruit,,A2,food
vůdce,leader,,B1,"misc,people"
uživatel,user,,A2,misc
výdaj,expense,,A2,misc
bar,bar,,A2,misc
tempo,pace,,A2,misc
legrace,fun,,A2,misc
krabice,box,,A2,objects
podpis,signature,,B1,"misc,abstract"
žaludek,stomach,,A2,body
směs,mixture,,A2,misc
jednotlivec,individual,,A2,misc
krám,shop,,B1,places
hovor,talk,,A2,misc
dělník,worker,,B1,"misc,people"
náměstek,deputy,,A2,misc
plus,pro,,A2,misc
rod,genus,,A2,misc
chalupa,cottage,,B1,places
fotbalista,footballer,,A2,"misc,people"
dálnice,motorway,,A2,transportation
výrok,statement,,A2,misc
jednička,(number) one,,A2,misc
koberec,carpet,,A2,objects
hloubka,depth,,A2,misc
nadšení,enthusiasm,,A2,misc
pravděpodobnost,probability,,A2,"misc,abstract"
dotace,grant,,A2,misc
sklep,cellar,,A2,places
odpoledne,afternoon,,A2,time
dohled,sight,,A2,misc
zlepšení,improvement,,A2,misc
dílna,workshop,,B1,places
sféra,sphere,,A2,misc
pojišťovna,insurance company,,A2,misc
pás,strip,,A2,misc
hrozba,threat,,A2,misc
tanec,dance,,A2,misc
talíř,plate,,A2,objects
tragedie,tragedy,,A2,"misc,event"
právník,lawyer,,B1,"misc,people"
choroba,disease,,A2,body
vtip,joke,,B1,misc
prádlo,underwear,,A2,objects
pusa,mouth,,A2,body
čeština,Czech,,A2,misc
podrobnost,detail,,A2,misc
debata,discussion,,A2,misc
zjištění,discovery,,A2,misc
publikum,audience,,A2,misc
továrna,factory,,B1,places
velitel,commander,,A2,"misc,people"
obyvatelstvo,population,,A2,misc
závazek,commitment,,A2,misc
chodník,pavement,,A2,places
tok,stream,,A2,misc
buňka,cell,,A2,misc
říše,empire,,A2,misc
důstojník,officer,,A2,"misc,people"
prášek,powder,,A2,misc
kmen,trunk,,A2,misc
složení,composition,,A2,misc
měřítko,scale,,A2,misc
odpad,waste,,B1,misc
pití,drinking,,A2,food
mzda,wages,,A2,misc
klobouk,hat,,B1,objects
městečko,small town,,A2,places
podání,submission,,A2,misc
zakázka,order,,A2,misc
prohlídka,examination,,B1,misc
obvinění,accusation,,A2,misc
hoch,boy,,A2,"misc,people"
pracoviště,workplace,,B1,places
vidění,seeing,,A2,misc
branka,gate,,B1,misc
organismus,organism,,A2,misc
záruka,guarantee,,B1,misc
požár,fire,,A2,misc
pobřeží,coast,,A2,misc
gesto,gesture,,A2,misc
katastrofa,disaster,,B1,misc
získání,acquisition,,A2,misc
povolání,profession,,B1,misc
účinnost,efficiency,,A2,misc
náhrada,compensation,,A2,misc
útvar,formation,,A2,misc
charakteristika,characteristic,,A2,misc
sklon,disposition,,A2,misc
ulička,lane,,A2,misc
kabát,coat,,B1,objects
květina,flower,,A1,nature
úcta,respect,,A2,misc
holčička,(little) girl,,A2,"misc,people"
vrah,murderer,,A2,"misc,people"
sklad,stock,,A2,misc
mínění,opinion,,A2,"misc,abstract"
zpěvák,singer,,A2,"misc,people"
gól,goal,,A2,misc
start,take-off,,A2,misc
narození,birth,,B1,misc
pokyn,instruction,,A2,misc
souboj,fight,,A2,"misc,event"
síň,hall,,B1,places
dodavatel,supplier,,A2,"misc,people"
nárůst,growth,,A2,misc
vzhled,looks,,B1,misc
čára,line,,A2,misc
akademie,academy,,A2,misc
zpěv,singing,,A2,misc
úvěr,loan,,A2,misc
prase,pig,,A2,animals
okres,district,,A2,misc
akcie,share,,A2,misc
odbor,department,,A2,"misc,abstract"
používání,use,,A2,misc
učitelka,female teacher,,A1,"misc,people"
smůla,bad luck,,A2,misc
komplex,complex,,A2,misc
královna,queen,,A2,"misc,people"
scénář,scenario,,B1,misc
pochybnost,doubt,,A2,misc
obvod,circumference,,A2,misc
finále,finals,,A2,misc
mužstvo,team,,A2,misc
expozice,exhibition,,A2,misc
plášť,coat,,A2,objects
cvičení,exercise,,A2,misc
obrazovka,screen,,B1,misc
rozdělení,division,,A2,misc
slib,promise,,A2,misc
uplatnění,use,,A2,misc
rovnováha,balance,,A2,misc
čtení,reading,,A2,misc
volno,leisure,,A2,misc
obal,cover,,A2,misc
správce,manager,,A2,"misc,people"
pachatel,offender,,A2,"misc,people"
hasič,firefighter,,B1,"misc,people"
pokrok,progress,,A2,misc
generál,general,,A2,misc
čest,honour,,A2,misc
sval,muscle,,A2,body
báseň,poem,,B1,misc
vnitro,interior,,A2,misc
iniciativa,initiative,,A2,misc
kapka,drop,,B1,misc
zásluha,credit,,A2,misc
zasedání,session,,A2,misc
vajíčko,egg,,A2,food
výstup,climb,,A2,misc
pokračování,continuation,,A2,misc
bomba,bomb,,A2,objects
neštěstí,misfortune,,B1,misc
šok,shock,,B1,misc
sloup,pole,,A2,misc
etapa,period,,A2,misc
zadek,back,,A2,body
běh,run,,A2,misc
poradce,adviser,,A2,misc
přínos,contribution,,A2,misc
pochopení,understanding,,A2,misc
publikace,publication,,A2,misc
úhel,angle,,A2,misc
humor,humour,,A2,misc
drát,wire,,A2,misc
senát,Senate,,A2,misc
pata,heel,,A2,body
dnešek,today,,A2,time
hřbitov,cemetery,,B1,misc
psaní,writing,,A2,misc
písmeno,letter,,A2,objects
porážka,defeat,,A2,misc
řádek,line,,A2,misc
léčba,treatment,,A2,misc
pěst,fist,,A2,body
zrak,sight,,A2,misc
vzorek,sample,,A2,misc
koš,basket,,A2,misc
rytmus,rhythm,,A2,misc
anděl,angel,,A2,misc
organizátor,organizer,,A2,misc
vytváření,creation,,A2,misc
protest,protest,,A2,misc
suma,sum,,A2,misc
výhled,view,,A2,misc
stolek,table,,A2,objects
chrám,temple,,A2,places
plamen,flame,,A2,misc
ukončení,termination,,A2,misc
zmatek,confusion,,A2,misc
obnova,restoration,,A2,misc
terén,terrain,,A2,nature
kov,metal,,A2,misc
pobočka,branch,,A2,places
architektura,architecture,,A2,misc
mrak,cloud,,A2,nature
mez,bounds,,A2,misc
bydlení,living,,B1,misc
sklenice,glass,,A2,objects
skok,jump,,A2,misc
ukázka,demonstration,,A2,misc
post,post,,A2,misc
prodejna,shop,,A2,places
management,management,,A2,"misc,people"
potomek,descendant,,A2,"misc,people"
louka,meadow,,A2,"nature,places"
stadión,stadium,,A2,places
herečka,actress,,B1,"misc,people"
sklenička,glass,,A2,objects
školství,education,,B1,misc
lavice,desk,,A2,misc
ohrožení,danger,,A2,misc
recept,recipe,,B1,misc
turnaj,tournament,,A2,misc
sluníčko,sun,,A2,nature
porovnání,comparison,,A2,misc
překlad,translation,,A2,misc
hmotnost,weight,,A2,misc
družstvo,cooperative,,A2,misc
kněz,priest,,A2,misc
elektřina,electricity,,A2,misc
tah,pull,,A2,misc
standard,standard,,A2,misc
asociace,association,,A2,misc
pojištění,insurance,,B1,misc
garáž,garage,,B1,places
zaměstnavatel,employer,,A2,misc
založení,founding,,A2,misc
umístění,position,,A2,misc
paprsek,beam,,A2,misc
výročí,anniversary,,B1,misc
výbuch,explosion,,A2,misc
úder,hit,,A2,misc
fantazie,imagination,,A2,misc
statistika,statistics,,A2,misc
pokladna,cash desk,,A2,misc
pohár,cup,,A2,objects
oznámení,announcement,,B1,misc
poptávka,demand,,B1,misc
onemocnění,disease,,A2,body
sektor,sector,,A2,misc
volič,voter,,A2,misc
vlastnictví,ownership,,B1,misc
legenda,legend,,B1,misc
doporučení,recommendation,,A2,misc
obtíž,trouble,,A2,misc
zrušení,cancellation,,A2,misc
plátno,cloth,,B1,misc
sex,sex,,A2,misc
oddíl,section,,A2,misc
kufr,suitcase,,A2,objects
financování,financing,,A2,misc
záběr,stroke,,A2,misc
lůžko,bed,,A2,objects
populace,population,,A2,misc
samota,solitude,,B1,misc
komedie,comedy,,A2,misc
talent,talent,,A2,misc
likvidace,liquidation,,A2,misc
otvor,hole,,A2,misc
demokrat,democrat,,A2,"misc,people"
zemědělství,agriculture,,A2,"misc,abstract"
bohatství,wealth,,A2,misc
stan,tent,,B1,misc
architekt,architect,,A2,misc
planeta,planet,,B1,nature
otevření,opening,,A2,"misc,event"
tuna,ton,,A2,misc
plod,fruit,,A2,"food,nature"
kytka,flower,,A2,nature
kritik,critic,,A2,misc
drama,drama,,B1,misc
lidstvo,mankind,,A2,"misc,people"
přehlídka,show,,A2,misc
vášeň,passion,,A2,misc
kouzlo,magic,,A2,misc
měření,measurement,,A2,misc
útěk,escape,,A2,misc
hluk,noise,,A2,misc
pravomoc,authority,,A2,"misc,people"
hovno,shit,,A2,misc
metropole,capital,,A2,misc
elektrárna,power plant,,A2,places
agent,agent,,A2,"misc,people"
posluchač,listener,,A2,misc
palec,thumb,,A2,body
sedadlo,seat,,B1,objects
náboženství,religion,,A2,misc
spolupracovník,colleague,,A2,misc
úspora,saving,,A2,misc
obálka,envelope,,A2,misc
výprava,excursion,,A2,misc
dění,events,,A2,misc
lampa,lamp,,A2,objects
sazba,rate,,A2,misc
ráj,paradise,,A2,misc
redakce,editorial office,,A2,places
místopředseda,vice chairman,,A2,"misc,people"
dvojka,(number) two,,A2,misc
trouba,oven,,A2,misc
objev,discovery,,A2,misc
vyšetření,examination,,A2,misc
důchodce,pensioner,,A2,"misc,people"
koule,ball,,B1,objects
huba,mouth,,A2,body
tyč,post,,A2,misc
hokej,(ice-)hockey,,A2,misc
tričko,T-shirt,,B1,objects
chod,course,,A2,misc
album,album,,A2,misc
krabička,box,,A2,objects
blbec,moron,,A2,"misc,people"
sebevražda,suicide,,B1,misc
minimum,minimum,,A2,misc
zastávka,stop,,A2,misc
parametr,parameter,,A2,misc
bouře,storm,,A2,nature
kauza,case,,A2,misc
záchrana,rescue,,A2,misc
trocha,a bit,,A2,misc
trénink,training,,A2,misc
křižovatka,intersection,,A2,misc
pruh,stripe,,A2,misc
venkov,country,,A2,places
výhra,victory,,A2,misc
odstranění,removal,,A2,misc
autorita,authority,,A2,"misc,people"
statek,estate,,A2,places
stabilita,stability,,A2,misc
proměna,transformation,,A2,misc
pásmo,zone,,A2,misc
příloha,supplement,,A2,misc
zdravotnictví,health care,,A2,misc
sestava,composition,,A2,misc
cizina,foreign country,,A2,places
ředitelka,(woman) director,,A2,"misc,people"
profese,profession,,B1,misc
zaměření,specialization,,A2,misc
děj,plot,,A2,misc
bazén,swimming pool,,A2,places
vztek,rage,,A2,"misc,abstract"
klín,lap,,A2,misc
poškození,damage,,A2,misc
kolečko,wheel,,A2,misc
vojsko,army,,A2,misc
balík,parcel,,A2,objects
užívání,use,,A2,misc
konto,account,,A2,misc
nápoj,drink,,A2,food
mlha,mist,,A2,nature
shromáždění,assembly,,A2,misc
koncentrace,concentration,,A2,misc
čert,devil,,A2,misc
obliba,popularity,,A2,misc
příznivec,fan,,A2,misc
utrpení,suffering,,A2,"misc,abstract"
úleva,relief,,A2,"misc,abstract"
vila,villa,,B1,places
vyprávění,tale,,A2,misc
kresba,drawing,,A2,misc
kontext,context,,A2,misc
zlo,evil,,A2,misc
odkaz,reference,,A2,misc
brada,chin,,A2,body
móda,fashion,,B1,misc
fórum,forum,,A2,misc
doprovod,company,,A2,misc
balíček,packet,,A2,objects
podvod,fraud,,A2,misc
seminář,seminar,,A2,misc
práh,threshold,,A2,misc
maska,mask,,A2,objects
opera,opera,,A2,misc
kapitál,capital,,A2,misc
plnění,performance,,A2,misc
blesk,lightning,,A2,misc
odvolání,withdrawal,,A2,misc
sukně,skirt,,B1,objects
lokalita,locality,,B1,misc
akt,act,,A2,misc
disciplína,discipline,,A2,misc
komentář,comment,,B1,misc
vize,vision,,A2,misc
stanovení,determination,,A2,misc
rozvod,divorce,,A2,misc
ustanovení,regulation,,A2,misc
přístav,harbour,,A2,misc
historka,story,,A2,misc
určení,purpose,,A2,misc
průvodce,guide,,B1,misc
zachování,conservation,,A2,misc
civilizace,civilization,,A2,misc
mrtvola,corpse,,A2,misc
vlast,homeland,,B1,places
námět,suggestion,,A2,misc
zabezpečení,security,,A2,misc
spolek,club,,A2,misc
přelom,turn,,A2,misc
výnos,decree,,A2,misc
mráz,frost,,A2,nature
stánek,stall,,A2,places
osa,axis,,A2,misc
nejistota,uncertainty,,B1,misc
skončení,termination,,A2,misc
smutek,sadness,,A2,misc
hůl,cane,,A2,misc
reprezentace,representation,,A2,misc
plíce,lung,,A2,body
potenciál,potential,,A2,misc
krádež,theft,,A2,misc
střet,conflict,,A2,misc
kouř,smoke,,A2,misc
rybník,pond,,B1,nature
sledování,watching,,A2,misc
uhlí,coal,,A2,misc
salát,salad,,A2,food
ústava,constitution,,A2,misc
perspektiva,prospect,,A2,misc
lavička,bench,,A2,places
definice,definition,,A2,misc
rukáv,sleeve,,B1,misc
rekord,record,,A2,misc
pevnost,fortress,,A2,places
slavnost,celebration,,A2,"misc,event"
klášter,monastery,,A2,places
schodiště,staircase,,A2,places
šťáva,juice,,A2,food
svah,slope,,A2,nature
poslání,mission,,A2,misc
posádka,crew,,A2,misc
hrdlo,throat,,A2,body
nezaměstnanost,unemployment,,A2,misc
znalec,expert,,A2,"misc,people"
odstup,distance,,A2,misc
výkřik,scream,,A2,misc
pochyba,doubt,,A2,misc
pláž,beach,,B1,"nature,places"
strejda,uncle,,A2,"family,people"
logika,logic,,A2,misc
vyšetřovatel,investigator,,A2,misc
uniforma,uniform,,A2,objects
zmínka,mention,,A2,misc
lež,lie,,A2,"misc,abstract"
zahrádka,(small) garden,,A2,nature
únava,weariness,,A2,body
pistole,gun,,A2,objects
přátelství,friendship,,A2,"misc,people"
pochod,march,,A2,misc
surovina,ingredient,,A2,misc
uznání,praise,,A2,misc
rozhlas,radio,,A2,objects
vězeň,prisoner,,A2,"misc,people"
institut,institute,,A2,misc
vesmír,universe,,A2,misc
stáří,age,,A2,time
oblek,suit,,B1,objects
dobro,(the) good,,A2,misc
parta,gang,,A2,misc
pohřeb,funeral,,A2,misc
spis,file,,A2,misc
pult,bar,,A2,misc
alternativa,alternative,,A2,misc
zakladatel,founder,,A2,misc
servis,service,,A2,misc
porušení,breach,,A2,misc
odvětví,branch,,A2,misc
sídliště,housing estate,,A2,places
éra,era,,A2,misc
lhůta,term,,A2,misc
parkoviště,car park,,A2,places
nenávist,hatred,,A2,"misc,abstract"
potěšení,pleasure,,A2,misc
únik,escape,,A2,misc
rozsudek,judgment,,A2,misc
privatizace,privatization,,A2,misc
řetězec,chain,,A2,misc
kvalifikace,competence,,A2,misc
hřích,sin,,A2,misc
spolužák,classmate,,A2,misc
nakladatelství,publishing house,,A2,places
prezentace,presentation,,A2,misc
řetěz,chain,,A2,misc
novela,amendment,,A2,misc
náznak,indication,,A2,misc
interpretace,interpretation,,A2,misc
hokejista,(ice-)hockey player,,A2,"misc,people"
nasazení,drive,,A2,misc
pilot,pilot,,B1,misc
království,kingdom,,B1,"misc,people"
personál,staff,,A2,misc
využívání,utilization,,A2,misc
zázemí,background,,A2,misc
vedro,heat,,A2,misc
iluze,illusion,,A2,misc
koupě,bargain,,A2,misc
nemovitost,real estate,,B1,places
bunda,jacket,,B1,objects
povodeň,flood,,A2,misc
písmo,handwriting,,A2,misc
zápis,minutes,,A2,misc
primátor,mayor,,A2,misc
opora,pillar,,A2,misc
priorita,priority,,A2,misc
odpůrce,opponent,,A2,misc
tuk,fat,,A2,misc
zklamání,disappointment,,A2,misc
milenec,lover,,A2,"misc,people"
nádobí,dishes,,A2,misc
laboratoř,laboratory,,A2,places
bezpečí,safety,,A2,misc
kouč,coach,,A2,misc
svíčka,candle,,B1,objects
hračka,toy,,B1,objects
ségra,sister,,A2,"family,people"
potok,stream,,A2,nature
vzdělávání,education,,A2,"misc,abstract"
výuka,teaching,,A2,misc
pauza,break,,A2,misc
myš,mouse,,A2,animals
specialista,specialist,,A2,misc
záloha,deposit,,A2,misc
kopie,copy,,A2,misc
inženýr,engineer,,A2,"misc,people"
výskyt,occurrence,,A2,misc
výpočet,calculation,,A2,misc
kroužek,ring,,A2,objects
portrét,portrait,,A2,misc
dosah,reach,,A2,misc
císař,emperor,,A2,misc
žaloba,(legal) action,,A2,misc
míč,ball,,B1,objects
nehet,nail,,A2,body
oděv,clothes,,A2,objects
asistent,assistant,,A2,"misc,people"
stížnost,complaint,,A2,misc
inteligence,intelligence,,A2,misc
motivace,motivation,,A2,misc
pořadatel,organizer,,A2,misc
pohlaví,sex,,A2,misc
skvrna,stain,,A2,misc
námaha,effort,,A2,"misc,abstract"
opozice,opposition,,A2,misc
koalice,coalition,,A2,misc
klika,handle,,A2,objects
intenzita,intensity,,A2,misc
schéma,scheme,,A2,misc
panna,virgin,,A2,misc
fotograf,photographer,,A2,"misc,people"
oblouk,arc,,A2,misc
balkón,balcony,,A2,places
idea,idea,,A2,"misc,abstract"
rezerva,reserve,,A2,misc
údržba,maintenance,,A2,misc
obránce,defender,,A2,misc
polštář,pillow,,A2,objects
sleva,discount,,B1,misc
brankář,goalkeeper,,A2,misc
nádoba,container,,A2,misc
rozkaz,command,,A2,"misc,people"
předchůdce,predecessor,,A2,misc
kabinet,cabinet,,A2,misc
opak,reverse,,A2,misc
chůze,walking,,B1,misc
producent,producer,,A2,misc
okénko,(small) window,,A2,nature
eso,ace,,A2,misc
poezie,poetry,,B1,misc
spektrum,spectrum,,A2,misc
trpělivost,patience,,A2,misc
plech,baking tray,,A2,objects
advokát,lawyer,,A2,"misc,people"
položka,item,,A2,misc
tajemník,secretary,,A2,misc
průkaz,card,,A2,objects
ocenění,award,,A2,"misc,event"
režie,directing,,A2,misc
limit,limit,,A2,misc
miska,bowl,,A2,misc
medaile,medal,,A2,misc
tisícovka,thousand,,A2,misc
reprezentant,representative,,A2,"misc,people"
nález,discovery,,A2,misc
policajt,cop,,A2,misc
náplň,filling,,A2,misc
kontinent,continent,,B1,misc
uzavření,closing,,A2,misc
miláček,sweetheart,,A2,"family,people"
integrace,integration,,A2,misc
čokoláda,chocolate,,A2,food
profil,profile,,A2,misc
potrava,food,,A2,food
pot,sweat,,A2,misc
schránka,box,,A2,objects
spoj,connection,,A2,misc
hlavička,header,,A2,body
ukazatel,indicator,,A2,misc
potvrzení,confirmation,,A2,misc
návod,manual,,A2,objects
mince,coin,,B1,misc
svědectví,testimony,,A2,misc
historik,historian,,B1,misc
záplava,flood,,B1,misc
metro,tube,,A2,transportation
hospodaření,management,,A2,misc
zpěvačka,(female) singer,,A2,"misc,people"
nádrž,tank,,A2,misc
dokumentace,documentation,,A2,misc
rozbor,analysis,,A2,misc
neschopnost,incompetence,,A2,"misc,abstract"
převaha,superiority,,A2,misc
posun,shift,,A2,misc
nezávislost,independence,,A2,"misc,abstract"
oceán,ocean,,B1,nature
bordel,mess,,A2,misc
jeviště,stage,,B1,places
bedna,box,,A2,objects
štít,shield,,A2,misc
senátor,senator,,A2,misc
vozík,handcart,,A2,transportation
medicína,medicine,,A2,misc
odjezd,departure,,A2,misc
vysílání,broadcast,,A2,misc
vana,bath,,A2,objects
deka,blanket,,A2,objects
zátěž,burden,,A2,misc
dialog,dialogue,,A2,misc
námitka,objection,,A2,misc
video,video,,A2,misc
neúspěch,failure,,A2,misc
magistrát,metropolitan authority,,A2,places
had,snake,,A2,animals
hlasování,vote,,A2,misc
kostka,cube,,A2,objects
slovník,dictionary,,A2,objects
emoce,emotion,,A2,"misc,abstract"
skandál,scandal,,A2,misc
sad,orchard,,A2,misc
řemeslo,profession,,A2,misc
výtah,lift,,A2,misc
palivo,fuel,,A2,misc
hlídka,watch,,B1,"misc,people"
frekvence,frequency,,A2,misc
soustředění,concentration,,A2,"misc,abstract"
ubytování,accommodation,,B1,misc
nevýhoda,disadvantage,,A2,"misc,abstract"
muzika,music,,A2,misc
jídelna,dining room,,B1,places
loket,elbow,,A2,body
odpočinek,rest,,A2,misc
hlína,soil,,A2,misc
půjčka,loan,,A2,misc
nositel,winner,,A2,misc
izolace,isolation,,A2,misc
mlýn,mill,,A2,misc
trávník,lawn,,A2,nature
tabule,board,,A2,objects
maximum,maximum,,A2,misc
jednota,unity,,A2,misc
spojenec,ally,,A2,misc
mezera,space,,A2,places
debil,asshole,,A2,misc
mísa,bowl,,A2,misc
bába,old woman,,A2,"misc,people"
sdělení,message,,A2,misc
zastupitelstvo,council,,A2,misc
dědictví,heritage,,A2,misc
obzor,horizon,,A2,misc
chlapík,guy,,A2,misc
báze,base,,A2,misc
nouze,poverty,,A2,misc
konkurs,competition,,A2,misc
příjezd,arrival,,A2,misc
dobrodružství,adventure,,B1,misc
převod,transfer,,A2,misc
benzín,petrol,,A2,misc
regulace,regulation,,A2,misc
střela,bullet,,A2,misc
soukromí,privacy,,A2,misc
prkno,board,,A2,misc
úraz,injury,,B1,misc
příznak,symptom,,A2,misc
záchvat,attack,,A2,misc
úzkost,anxiety,,A2,misc
ekonom,economist,,A2,misc
tečka,dot,,A2,misc
listina,document,,A2,misc
štáb,headquarters,,A2,misc
objednávka,order,,A2,misc
experiment,experiment,,A2,misc
hudebník,musician,,A2,"misc,people"
vyhlídka,view,,A2,misc
nařízení,decree,,A2,misc
pláč,crying,,A2,misc
milost,mercy,,A2,misc
střelec,shooter,,A2,misc
připomínka,remark,,A2,misc
znění,wording,,A2,misc
stres,stress,,B1,misc
favorit,favourite,,A2,misc
společník,partner,,A2,"misc,people"
fungování,operation,,A2,misc
doplněk,supplement,,A2,misc
jezdec,rider,,A2,misc
budování,building,,A2,misc
divize,division,,A2,misc
omáčka,sauce,,A2,food
východisko,basis,,A2,misc
havárie,accident,,A2,misc
školka,nursery school,,A2,places
schůze,meeting,,B1,"misc,event"
bilance,balance,,A2,misc
manipulace,manipulation,,A2,misc
zvyšování,increase,,A2,misc
dokončení,completion,,A2,misc
zastoupení,representation,,A2,misc
němčina,German,,A2,misc
příčka,rung,,A2,misc
výkonnost,performance,,A2,misc
obřad,ceremony,,A2,"misc,event"
představenstvo,board of directors,,A2,"misc,people"
protivník,opponent,,A2,misc
pozorování,observation,,A2,misc
tunel,tunnel,,A2,places
peněženka,wallet,,B1,objects
inspirace,inspiration,,A2,"misc,abstract"
skupinka,group,,A2,misc
zastupitel,council member,,A2,"misc,people"
rukavice,glove,,B1,objects
čepice,cap,,B1,objects
čistota,cleanliness,,A2,misc
pouť,funfair,,B1,misc
sportovec,sportsman,,A2,"misc,people"
trojice,threesome,,A2,misc
kalendář,calendar,,A2,objects
poklad,treasure,,A2,misc
šíření,spread,,A2,misc
